date,disposable_income,saving
2019/01/01,16157,1370.5
2019/02/01,16201.6,1400.7
2019/03/01,16229.5,1292.3
2019/04/01,16240.3,1226
2019/05/01,16248.4,1180.4
2019/06/01,16286.5,1152
2019/07/01,16330,1141.6
2019/08/01,16420.2,1194.5
2019/09/01,16451.2,1205.5
2019/10/01,16485.6,1181.6
2019/11/01,16565.4,1236
2019/12/01,16567.8,1193.7
2020/01/01,16717.1,1268.9
2020/02/01,16835.1,1392.7
2020/03/01,16540.1,2120.8
2020/04/01,18963.3,6351.5
2020/05/01,17993.7,4360.5
2020/06/01,17738.4,3370.8
