1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Baltimore-Columbia-Towson,137177,53297,145130,53955,54222,49169,45558,52043,51009,63043,61928,54461,61778,58076,51069,61750,61677,53001,51880,58846,57837,70042,66781,59580,69756,68517,59161,69471,68450,61264,57903,54647,58986,66921,64818,60803,67197,66199,61642,67620,69490,62165,58953,61202,65401,70535,70946,62761,70013,72262,66868
California-Lexington Park,3704,1819,3915,1853,1888,1614,1501,1715,1668,2372,2267,1795,2096,2042,1646,2185,2180,1831,1681,2024,1952,2702,2437,2067,2498,2459,2057,2525,2469,2136,1984,1818,2015,2463,2291,2002,2448,2186,1933,2233,2319,1990,1837,2040,2129,2568,2446,2138,2612,2468,2253
Cumberland,4784,2535,5925,2526,2472,2254,2184,2362,2283,2719,2792,2043,2649,2417,1985,2639,2671,2086,2204,2205,2162,2743,2534,2337,2725,2917,2539,3027,2981,2299,2444,1992,2113,2420,2382,2190,2536,2857,2415,3044,3030,2251,2436,2288,2410,2679,2748,2447,2811,3148,2712
Hagerstown-Martinsburg,13312,5208,15106,4991,5042,4334,4231,4449,4458,5149,4996,4639,5317,5519,4481,5876,6078,4875,4749,5234,5163,6002,5465,5512,6100,6484,5678,6243,6774,5186,5222,4713,4828,5438,5638,4847,5574,5862,5057,6102,6269,5291,5163,5285,5739,5714,6172,5483,5990,6752,5867
