1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Carson City,22721,26797,23131,26581,26934,26855,26814,26818,26975,27057,26750,26509,26976,26117,26180,26074,26303,26485,26523,26348,26505,26594,26400,26360,26504,26285,26249,25860,26405,25112,24989,24809,25031,24915,24755,24726,24741,24631,24593,24606,25031,24570,24430,24669,24624,25200,24793,24925,25209,24875,24794
Las Vegas-Henderson-Paradise,1019889,1143825,1063731,1145940,1154157,1144183,1140841,1133949,1137788,1130447,1130752,1120126,1123792,1105946,1108373,1111179,1112411,1120163,1121105,1113821,1117989,1109201,1109659,1097559,1097500,1094655,1097334,1084970,1095090,1086947,1086856,1073809,1077435,1069695,1068802,1060776,1063902,1053288,1060132,1053024,1057648,1050161,1048321,1048066,1050116,1061266,1052071,1055459,1059667,1049438,1051610
Reno,220613,261519,227600,260458,263794,273469,272324,270051,272438,267332,267243,264137,267195,260083,261131,257747,260880,259962,258836,252990,256430,249806,250798,248338,249083,247419,247697,243056,246696,239590,240512,237328,238207,235226,234788,233865,234666,233426,232634,231362,234446,236415,234496,234128,234843,235620,234474,232944,233851,232158,232811
