1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bowling Green,80218,84615,80439,83948,84820,85487,85504,84850,84654,83478,83785,85316,85957,84996,84860,82684,83964,84247,83754,84190,84043,83623,83733,84756,85242,84438,84795,81395,83511,83381,83189,83412,82830,82594,82191,83956,83977,83346,84210,80321,82350,78189,78225,77880,78256,75818,76245,77474,77836,76979,76779
Elizabethtown-Fort Knox,67947,67505,69307,67497,67698,67782,67791,67943,67443,69396,68163,68157,68955,68233,67994,67257,67559,67121,66705,67201,66821,68998,67639,67314,68482,67118,67103,65513,66611,67487,67092,67890,67183,69677,68388,68065,69228,67670,68116,66211,66839,65995,65909,66231,65801,66185,65569,65264,66698,64674,64480
Lexington-Fayette,267343,268085,271015,271386,270329,278044,275996,275598,277212,276867,274607,277087,278790,272330,274419,270379,270271,275171,273538,273045,274520,277100,271884,274520,277613,269932,272853,268714,269042,272019,270829,271357,271826,273181,270583,275329,276363,272506,276558,266497,268785,262435,261863,258380,260879,254102,255049,258374,258914,257212,258840
Louisville/Jefferson County,646252,669791,647246,676395,677633,675303,674773,675190,672853,683625,676826,675747,680433,678055,673632,667581,673193,665080,663187,671648,662709,679953,666771,669059,675457,668052,669702,651201,661376,665785,666851,668170,661746,675565,669719,665690,673297,662981,663666,652062,654765,644377,648515,644268,642709,648069,641960,637557,647601,631137,633236
Owensboro,54457,54989,54704,55964,55942,55819,55849,55805,55819,56888,56012,56470,56375,56193,56100,55880,55899,55762,55582,56366,55852,57309,56292,56608,57116,56478,56346,55827,56212,55189,54989,55206,54694,56161,55321,55982,56027,55629,56086,54672,55312,54256,54277,54240,54516,54023,53635,54124,54535,53746,53517
