1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Ames,53695,59076,55060,59036,60221,63296,61519,62781,63541,57429,58432,59895,56981,60391,60614,57488,60006,60254,59248,59790,60709,55927,56675,57610,55673,58651,59255,57171,58947,58803,57517,58909,59105,54837,55752,56857,54822,58432,58584,56960,58740,59603,58731,59704,60155,55526,55694,57478,55325,58558,58906
Cedar Rapids,144139,146482,148021,148783,147595,149838,147690,148577,149779,148258,147718,144147,146294,144769,145468,143115,143758,142563,142627,142714,143704,145230,142744,141887,144960,142622,142941,141862,142877,142199,141979,142776,142177,142808,142177,141513,144438,143237,142376,143233,142730,145011,144787,145706,146426,146230,144920,143559,145882,145666,144532
Des Moines-West Des Moines,352916,361739,366761,367457,365607,375308,371754,374015,378586,379779,375888,365762,375274,362685,365255,357367,359669,355689,355975,352732,358633,365036,358396,351630,362158,346441,348443,345234,345910,347138,344465,345803,346235,355191,351292,344901,354643,344057,346537,344875,343612,342238,340193,343610,344928,348871,347589,340861,348323,338592,338632
Dubuque,54923,55959,54413,57536,57095,58227,57864,57827,58192,57780,57470,56499,57355,56746,56751,55829,56119,54398,54381,53961,54898,54519,53889,54194,54744,54439,54447,54116,54357,53991,53864,54117,53973,53949,53390,54160,54721,55041,54265,55129,54874,56527,56777,56533,56855,56192,55727,55555,56699,56599,55569
Iowa City,94210,97520,96541,98685,98741,100411,98546,99959,100807,99652,99615,96847,97686,98597,98805,96670,97677,98358,97406,98067,99340,98023,97424,96520,97431,98042,98063,96253,98124,99077,97565,99676,99155,98334,98951,96963,97926,99017,98315,98109,98849,98791,97386,99027,100261,97639,97560,95551,96491,97710,96648
Sioux City,93393,93235,91731,94187,94116,96352,94877,95605,96238,96651,95337,94027,96591,93930,94089,92878,93752,91288,91200,90439,91583,92359,90157,90546,92276,90507,90286,89723,90137,90540,90064,90701,90695,92640,91110,91823,93220,91604,91280,91297,91964,92672,92194,93269,92558,94969,93621,92722,95159,93568,92751
Waterloo-Cedar Falls,89915,89287,90469,90218,90094,92881,91769,93012,93429,92298,92141,90642,90655,91175,91315,89045,90574,87907,87691,87775,88524,88182,86712,87578,87744,88087,88309,86894,88330,88102,87474,88717,88484,87602,86929,88184,87495,89656,89175,89140,89620,90142,90001,90770,91517,90865,89786,89998,89841,91550,91340
