1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bismarck,5171,1936,6339,2110,2112,1528,1623,1358,1230,1529,1592,1475,1854,2326,1798,2324,2354,1618,1833,1578,1405,1669,1601,1598,2009,2442,2146,2584,2646,1651,1963,1343,1224,1427,1466,1319,1709,2385,1786,2611,2519,1748,2145,1636,1397,1773,1813,1741,2069,2452,1842
Fargo,9391,3542,11670,3882,3577,2639,2963,2668,2262,3059,2824,2851,3438,4180,3400,4224,4023,2590,3151,2781,2480,3021,2845,2885,3670,4292,3743,4495,4431,2775,3386,2561,2192,2769,2822,2657,3206,4329,3317,4705,4547,2929,3765,2981,2547,3163,3186,3037,3663,4392,3310
Grand Forks,4220,1652,4619,1583,1607,1181,1353,1083,1006,1579,1360,1394,1764,1800,1540,1840,1747,1134,1376,1206,1024,1576,1371,1291,1753,1868,1624,1928,1891,1280,1544,1184,959,1566,1571,1316,1739,1993,1642,2136,2030,1413,1715,1408,1207,1703,1655,1514,1947,2072,1739
