1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Duluth,140109,142608,142218,142682,144201,145552,143951,144395,145454,145174,144052,142881,143931,144208,144193,143352,143981,144664,144387,143439,144125,145090,143160,145223,145377,146916,145947,145776,147879,144506,144118,144668,143108,144687,144421,141882,144176,142946,142018,141816,142750,139709,138979,139808,139126,143093,141468,142689,144506,143826,143450
Mankato-North Mankato,60003,62728,62238,62547,63094,64009,63109,62870,64731,61147,61096,61798,61874,61854,62140,61161,61612,63064,63634,62374,63942,61312,60928,62224,62297,62866,62613,62415,63236,61517,61052,60495,61903,58481,58608,59759,59382,60492,60419,59946,60644,58858,58642,57867,59267,58030,57451,59576,59289,60739,60232
Minneapolis-St. Paul-Bloomington,1962191,2019216,1993021,2027729,2032210,2033858,2024153,2029583,2032943,2051514,2041411,2005176,2033996,2011727,2004340,2005927,2008207,2007351,2008040,2005919,2007145,2046192,2022959,2015686,2036572,2011713,2011672,2003867,2015303,1994774,1990904,2007165,1990633,2014179,2010421,1968826,1999700,1950555,1956282,1928416,1942461,1920129,1922032,1937513,1920011,1976254,1957550,1968877,1971286,1968110,1966192
Rochester,124601,124332,122062,124337,124587,126185,125420,126100,127237,129364,127898,125385,127285,125236,124983,124258,124433,119635,120953,120459,121328,124476,121593,121378,123810,122235,121388,121733,122394,119463,119391,119804,119578,122602,121658,119262,121662,119146,119123,118764,118421,118322,118324,118474,118431,121474,120970,119476,120504,120703,120196
St. Cloud,110953,113193,113324,113375,113923,115136,114445,114723,115506,114489,113762,113958,113332,114053,114309,112729,113688,112682,113242,111990,113096,113570,111757,114539,113489,114709,114483,113622,114704,111839,111726,110680,111502,110708,110647,110653,110883,110603,111212,110195,110477,110589,111338,109645,110742,111850,110845,111688,111986,113597,112212
