1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Enid,26010,26378,25751,26628,26416,26741,26450,27037,27180,27656,27431,26788,27022,26821,26553,26865,26972,27326,27062,27550,27645,28448,27897,27706,28235,27598,27359,27056,27208,30690,30610,30564,30799,30972,30800,30215,30961,30157,30032,29829,30249,,,,,,,,,,
Lawton,50469,50703,50104,50891,50723,51378,50898,51443,51361,52159,51862,51057,52148,50950,50534,50658,50747,51621,50937,51436,51894,52856,52166,52446,53314,52533,52466,51923,52230,52992,52706,52523,52843,52625,52599,52395,53047,53047,52852,52492,53103,53761.0,53609.0,52100.0,52569.0,52920.0,52008.0,52851.0,53663.0,53656.0,53437.0
Oklahoma City,682045,680431,656417,681516,686005,686137,679962,691711,689747,701173,691839,681956,694038,677129,676883,667149,676565,681151,672568,684431,686335,696345,685799,684946,695510,684933,683473,669219,680489,679741,677860,677091,678728,675034,669604,666052,674180,673564,667055,662594,669100,673683.0,670254.0,662058.0,664810.0,668663.0,658355.0,669770.0,676438.0,679902.0,673385.0
Tulsa,474466,477674,463026,477670,478381,477936,473432,479546,480125,487053,477362,474088,482061,475081,472555,473057,473873,486903,481927,486604,488186,494123,486911,487616,493528,483675,484701,479704,481862,484616,482323,476728,481632,478196,473379,469676,475298,475172,470208,475006,475303,481795.0,477140.0,469979.0,475213.0,475586.0,467189.0,475488.0,479579.0,479603.0,476278.0
