1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Blacksburg-Christiansburg-Radford,83863,92725,86505,89332,93893,92346,93571,92163,89398,89776,91169,90728,89505,91050,90722,87374,91279,91824,91449,91060,92134,89080,90291,90722,88712,91071,91532,86402,90641,92467,92192,94906,93623,91278,91722,92496,90469,93839,94163,88648,92713,90764,91875,91625,91975,88432,90410,89610,88037,91729,91574
Charlottesville,122241,124988,120921,123854,125973,123010,122279,123805,123015,123170,121373,122503,123091,120828,121512,118241,120855,123586,123140,123805,123226,122573,120206,123035,124078,122441,123537,118142,121601,119250,118434,120368,118385,118147,116764,119522,119941,118042,120047,114934,117591,119080,119064,118329,118145,116020,114947,117335,116843,117287,117651
Harrisonburg,64405,66834,65427,68678,69215,68349,68527,67821,68820,66847,65879,65948,66492,66267,66793,66446,67337,66878,67062,66111,66660,65904,63890,65484,65792,66203,67009,65175,66429,66561,66510,67422,66907,66280,64761,65349,66255,65880,66949,64907,66009,62982,63790,63366,63221,62783,61796,62082,62342,63302,63342
Lynchburg,117891,124515,115434,123647,124111,125253,124567,124971,125854,125722,125276,124506,123475,123572,122933,122344,123421,123995,123634,123306,123765,125348,124301,124083,124891,123920,124351,121493,123435,121963,122031,123787,121794,124505,121588,122353,123364,122873,122909,121277,122298,121034,122062,120363,121088,122312,120936,120781,121240,120715,120511
Richmond,677998,694676,667873,697526,701915,694895,697928,687233,692607,703579,693915,686010,694485,680859,681774,673850,681657,681292,679381,677868,683502,697370,682976,686476,689073,682068,682082,670378,677571,674571,672476,686543,679574,695594,687487,680302,688821,672845,674244,663918,668459,669033,671929,665339,672970,673901,669638,666945,671165,671290,662063
Roanoke,154112,159725,152294,159094,160046,161540,161521,160261,161350,161498,159906,159087,158982,159171,157373,156419,158134,158674,158189,158175,159130,159213,156971,158867,159663,157742,157845,155207,156591,159311,158698,162143,160552,162531,161505,160356,161889,160199,159458,158673,158712,158186,159977,157549,158631,158133,157640,157133,157248,158246,157215
Staunton-Waynesboro,61725,60610,61725,61643,61978,61398,61429,60996,61652,61501,60937,60496,61153,60203,60087,59689,60256,59998,59998,59518,60132,60685,59294,59955,60560,59704,59965,58548,59128,59841,59754,60631,60020,61127,60180,60327,61060,59884,60225,59155,59305,57138,57575,57160,57203,57887,57100,57302,57436,57471,57130
Virginia Beach-Norfolk-Newport News,852812,865400,844235,859581,863542,859233,862415,860603,862243,884961,871370,862215,875174,854971,852602,841360,851529,848432,847145,848763,852412,874550,860384,856399,867108,849021,849180,832994,842961,822834,817588,840271,830349,858923,848236,841740,852945,837417,837586,830362,832852,825521,829893,826681,831473,845617,836090,829024,837511,832925,826737
Winchester,71805,74611,71984,74928,75508,74937,74480,74410,75453,75377,74886,73789,74976,72881,73254,72261,72863,73102,72902,72494,73338,74115,72918,73259,73954,72424,72860,71057,72281,70552,69749,71191,70904,71808,71005,70822,71565,70130,70649,69348,69802,70097,70270,70191,70423,70726,70046,69622,70192,69559,69488
