1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Charleston-North Charleston,396162,396358,391606,397857,398541,389636,391060,389922,389984,400215,394740,393696,398338,389907,390802,382608,386283,379702,379429,373762,380758,383282,378849,374766,383139,378700,373268,373552,377273,377102,374937,378797,378294,383951,381012,379049,382684,381582,379081,377129,379605,371230,371892,372026,372345,378084,373579,369858,375912,370070,370098
Columbia,411814,410691,394821,406274,408475,402713,402903,401073,403798,407668,405755,405050,407278,403517,401661,397995,400746,397804,400750,397648,399043,403743,399477,396035,399734,401002,395959,398932,401389,400087,398296,403897,403091,411081,404691,404187,408812,407123,405329,403625,406729,402123,403012,405750,404840,407508,405883,403583,407830,406626,404457
Florence,98966,98460,95355,97174,97484,97224,97367,97017,97541,99294,98322,98630,98950,98133,98078,97114,97389,94641,95044,94287,94785,95360,94049,94476,95322,95683,94110,95276,95580,95153,95619,96355,95572,97548,97119,97324,98271,97310,97267,95917,96892,94585,95199,95079,94957,96379,96312,96477,97146,97398,96562
Greenville-Anderson-Mauldin,448310,440241,442523,435464,439686,430953,431264,430780,433626,438007,434236,433841,437979,432622,431800,426242,429814,423439,427200,421195,425513,423566,420637,422556,426102,428202,421441,426112,427305,421795,422981,425717,424843,426359,426685,423281,426582,425383,422653,420710,423827,421855,423891,421406,424670,424677,422014,422947,426956,425360,423001
Hilton Head Island-Bluffton-Beaufort,92030,92447,88592,91084,91959,90438,89823,90722,91731,95426,93866,92355,94455,89436,90579,87478,88093,86349,86202,86312,86500,90262,88353,87710,89851,86406,86564,85074,85686,83554,83288,85335,84354,89258,87928,86128,88390,84276,85167,83141,83600,83367,83370,85475,84085,89246,87993,86228,88873,84760,85679
Myrtle Beach-Conway-North Myrtle Beach,201147,201869,194031,198808,201191,203837,202185,207548,207725,218795,212432,211601,218326,203043,206736,194130,196993,192256,192174,195398,195065,209678,203827,199761,208468,193926,196228,188484,190742,187172,184533,193361,189402,204029,198373,198526,202229,188263,195863,182867,184091,181725,179429,189203,183583,200208,195605,192230,198713,186566,190139
Spartanburg,174286,168128,173722,166020,166735,164412,164596,164246,165003,165566,164578,163692,165522,163683,163314,160221,161841,157622,158123,157257,158454,158350,156855,157058,158677,159289,157822,158768,159984,155745,155673,157681,156437,158015,157111,155962,157537,157590,156356,155853,156871,153149,153838,153092,154335,152719,152604,153081,154744,155239,154255
Sumter,45687,44621,45226,44265,44385,44522,44588,44299,44911,45401,44576,45256,45471,45046,45073,44594,44744,43772,44103,43606,43853,44139,43722,43408,43960,44074,43483,44377,44551,43359,43489,43676,43624,44793,44201,43844,44717,44421,44235,44551,44673,43984,44213,44331,44294,45182,44708,44928,45227,45696,45627
