1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Grand Island,3301,2060,5021,2242,1541,1248,1278,1279,1966,1528,1361,1345,1501,1503,1306,2039,1435,1133,1243,1140,1169,1358,1224,1262,1357,1323,1309,2091,1358,1087,1330,1078,1036,1311,1194,1238,1316,1447,1549,2606,1597,1285,1514,1382,1424,1583,1471,1341,1523,2192,1476
Lincoln,9408,7106,17635,5133,5021,4943,4464,4978,5053,5693,5351,5253,5988,5370,4965,4879,5039,3998,4164,4367,4524,5131,4705,4668,5229,4593,4651,4708,4598,3793,4354,4219,3870,4858,4561,4562,5036,4706,4486,5565,5019,4388,4929,5082,5045,5716,5324,4518,5461,5057,4901
Omaha-Council Bluffs,31551,21842,50107,16185,15302,13641,13621,13997,14091,16670,15279,14713,16465,16282,14403,15363,15539,12104,13156,12665,12840,15147,13518,13681,15120,14639,14044,15061,14749,11863,13573,12816,11643,15348,14022,13856,15300,15235,13811,17216,16428,14048,15399,15621,15499,17807,16686,14269,16828,16689,15397
