1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Cape Girardeau,44798,49206,46434,48841,48939,49307,49018,48936,49574,47886,48686,47905,48454,47780,47618,47268,47790,48567,48607,48356,48602,48055,47919,48476,49033,48071,48174,47266,48141,44821,44534,45281,44891,46577,46466,47085,46927,47600,47609,48323,48333,48746,48957,49033,48970,48763,48808,49574,50633,50061,50020
Columbia,93649,100786,95725,97338,99069,100293,98881,99671,100271,97231,96577,97208,94924,97158,96937,94453,97601,98720,98566,98626,99177,97528,95750,98439,96066,97518,98091,94336,97391,99378,98016,100590,99400,97850,97384,98112,96313,98564,98479,96632,99157,102862,102404,102808,103257,100851,100304,103514,99490,103456,103258
Jefferson City,72956,75656,71972,75108,74791,74693,73398,74651,75209,75432,73906,72966,73855,72452,72367,72327,72481,73542,72923,73975,74533,75786,74021,74996,74989,74079,74568,73202,73744,73547,72046,74931,74043,75985,74844,74873,75932,75023,75446,75476,75654,76187,74868,76993,76570,77901,77182,77139,77620,77523,77332
Joplin,83201,85982,84067,86053,85620,86222,85804,85493,86402,86160,84289,84127,84406,84387,83480,84580,84856,84631,84514,84385,85108,85574,83069,84624,85150,84319,84371,83659,84792,85121,84236,86088,85362,85776,84174,84227,85082,84523,84790,85431,85580,86634,86125,87064,86871,87096,86404,87180,87355,87981,87477
Kansas City,1122459,1147630,1121653,1143913,1145880,1162944,1153374,1154747,1162194,1179369,1160870,1133023,1164569,1126079,1127955,1129880,1128686,1138357,1137463,1141755,1147245,1170697,1142985,1137183,1161202,1123325,1127277,1121515,1125637,1117448,1106777,1130887,1123633,1154038,1140916,1119659,1135865,1131025,1125520,1131907,1129607,1116721,1114147,1121955,1125180,1152214,1130706,1128837,1137969,1126987,1121035
St. Joseph,61496,64035,61938,63415,63395,63705,63393,63760,64282,64925,63468,62963,63660,62973,63163,62815,63137,65706,65672,65310,66154,66974,65295,65870,66449,65295,65132,64343,65132,63416,63006,64138,63629,65833,64712,64676,65231,65097,64885,65321,65457,65402,65026,65753,65721,66503,66195,66133,66487,66933,66257
St. Louis(2),1426647,1469618,1409271,1478367,1471502,1497706,1480617,1500313,1501055,1513407,1500470,1466545,1498039,1456317,1457266,1448918,1458538,1464164,1466418,1468941,1474856,1500288,1466762,1473759,1494682,1457764,1461434,1430441,1449793,1451637,1436378,1465653,1449651,1481775,1467787,1454472,1470310,1456081,1451501,1462933,1471559,1501701,1488490,1512320,1512457,1514487,1511250,1500890,1509497,1493292,1494777
Springfield,229560,241219,233889,237643,237760,238075,236207,237463,237353,237114,234132,233027,233199,233270,231220,231552,233621,231531,232491,231168,231350,234097,227344,230607,231177,228647,228999,227150,229686,229786,228639,234792,230518,233909,230096,230189,229335,231118,230969,231100,232663,236812,235782,237620,239984,238374,235105,237718,238125,238970,238347
