1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Ames,3725,1225,4619,1324,995,998,1244,930,853,1248,1114,897,1295,892,772,1109,858,724,856,850,640,1022,939,860,1119,995,887,1063,1141,875,886,1193,817,1295,1360,1078,1414,1173,967,1295,1239,993,1214,1500,1301,1691,1617,1209,1792,1417,1187
Cedar Rapids,15657,5726,17994,5673,4972,3956,4651,3651,3599,4280,4215,3296,4062,4217,3239,5000,4172,3119,3851,3412,3022,3859,3765,3468,3984,4702,3964,5640,5390,4133,4510,4763,3739,4860,5061,4566,4919,5050,4477,5997,5253,4488,5123,5592,5077,5885,6161,5282,5875,6388,5320
Des Moines-West Des Moines,37081,12226,42279,12771,10822,8480,9943,7987,7935,9694,9248,7829,9640,10038,7855,11272,9748,6603,8416,7322,6739,8484,8044,7505,8762,10048,8135,11571,11388,8455,8807,9889,7820,10479,10481,9711,10748,10831,9477,12845,11334,9890,10890,12287,11230,13037,13570,11047,13165,13051,11252
Dubuque,6715,2151,6901,2355,1939,1291,1766,1147,1127,1394,1410,1062,1272,1582,1133,1915,1564,988,1358,1049,906,1222,1192,1118,1266,1676,1353,2080,1969,1274,1597,1496,1128,1613,1675,1454,1594,1937,1456,2316,2021,1505,1914,1932,1743,2167,2204,1843,2194,2480,1907
Iowa City,8230,2519,9084,2553,2073,1810,2231,1796,1614,2259,2061,1735,2173,1842,1529,2193,1796,1475,1755,1729,1436,2018,1933,1771,2127,2101,1871,2420,2428,1997,2028,2497,1899,2687,2817,2324,2806,2522,2207,2961,2624,2090,2369,2885,2616,3054,3171,2386,3089,2762,2348
Sioux City,7832,3366,8800,3421,2998,2478,2905,2196,2307,2661,2522,2071,2599,2669,2073,3036,2646,1891,2511,1935,1820,2399,2162,2098,2458,2800,2356,3256,3087,2521,2708,2640,2294,3002,2945,2640,3072,3120,2668,3703,3408,3058,3587,3210,3052,3488,3603,2827,3544,3613,2923
Waterloo-Cedar Falls,9703,3571,10164,3810,3022,2472,3063,2319,2337,3034,3204,2052,2481,2492,2080,2996,2437,1711,2274,1981,1719,2329,2299,2068,2429,2839,2382,3360,3150,2527,2813,2950,2343,3114,3280,2955,3273,3549,3044,4536,3567,3486,3901,4084,3847,5124,4828,3803,4593,4558,3952
