1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bangor,67305,72332,69023,70973,71619,71633,71733,70614,71602,69828,69615,69796,70721,70744,71220,70474,70727,70662,69901,70441,71498,71177,70099,70317,70837,70177,71246,69224,70200,70900,70586,71470,71803,71648,71111,70952,71527,71257,72113,70332,70904,71752,71449,70924,72150,70154,70114,68820,69783,68867,69102
Lewiston-Auburn,54443,56254,53957,55989,55792,55729,55576,54797,55716,55162,54965,55530,55687,55791,55990,55871,55503,56412,55707,55955,56796,56804,56286,56424,56801,56014,56386,55708,55657,56969,56667,56590,57154,57302,57046,56594,57116,57131,56981,56982,56859,56931,56454,55933,56715,55922,56070,54971,55533,54655,54701
Portland-South Portland,195242,206560,192148,206527,205854,207591,207018,207244,209620,212453,211665,206415,211574,205114,205256,206618,205185,210675,208986,211876,212003,218059,216933,210447,215191,205602,207201,206186,204444,206537,205329,207422,207908,214764,214094,205681,211542,205310,205155,203719,203578,203188,202825,202714,203106,206444,207266,196916,202587,192449,193812
