1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Barnstable Town,114657,117568,107299,120651,119989,123577,123966,131659,127840,144550,143423,129881,138190,121901,123581,123833,121764,123813,123964,132338,127750,145360,143831,128571,138130,119703,122281,118537,118426,120465,119012,127982,123662,140981,139728,125241,133945,118174,120703,116556,116783,118560,117781,126344,122124,138660,138306,122718,131441,117068,118920
Boston-Cambridge-Nashua,2604313,2798297,2514126,2834868,2836857,2844647,2849800,2819538,2845075,2855820,2864484,2836180,2863156,2839936,2825221,2837463,2836039,2820536,2824194,2810408,2821460,2862743,2844259,2794907,2841408,2752088,2772337,2699597,2731865,2683039,2681518,2689540,2681283,2750264,2730900,2719187,2748756,2713939,2723884,2667330,2687717,2650951,2656752,2644354,2646581,2697024,2696941,2633464,2677422,2634166,2644668
Leominster-Gardner,75928,80575,72928,81165,81284,83046,83620,82022,82474,82344,82701,82882,83133,83119,82529,83400,83122,81275,81619,80967,81200,81946,81498,80872,81502,79926,80168,78694,79535,76249,76503,76649,76185,78197,77910,78040,78606,77992,78113,76358,77107,76096,76206,76036,75985,77172,77190,76092,76887,76370,76292
New Bedford,83791,85519,81836,86824,86527,86836,87736,86506,86348,86927,86932,86814,87215,87224,86528,88017,87587,87653,87886,87454,87614,89071,88278,86807,88319,86994,86373,85379,86399,85189,84970,85487,84633,87817,87134,87079,87789,86801,87116,84890,86099,82196,83002,83095,82588,85549,85043,83276,84872,84720,83842
Pittsfield,39219,41007,38075,42714,42247,43170,43827,43308,43303,45307,45614,43292,44635,43206,42568,44106,43474,43814,44339,44204,44120,46649,45829,43790,45868,42963,42910,42918,42922,42232,42638,42941,42207,45101,44619,43390,44690,43332,42934,42810,43184,42803,43090,43392,43084,45729,45487,43406,44915,43482,43022
Springfield,342948,375926,336123,378365,381617,390317,389742,385376,388635,385839,386784,386926,388848,387096,386627,384203,389559,382691,383894,379727,382224,382905,380991,379804,382942,377699,378223,367099,375304,369436,367293,368197,368542,372891,369510,373380,373359,373136,374671,363357,370926,364463,365495,364613,365956,366878,367601,363601,364169,364369,365225
Worcester,337258,362909,326326,363841,364487,362548,364448,358167,361205,359833,362565,361479,362933,364406,360626,365210,365366,367838,368885,366911,367574,368734,366313,364469,367569,360301,361200,353909,358659,347740,348061,347630,347164,354746,351908,354899,356710,353873,354404,346727,350418,346888,347335,347084,347537,351267,350737,346484,349703,346930,345891
