1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Billings,6685,3247,9530,3425,3260,2683,2748,2483,2529,2468,2542,2245,2851,3264,2461,3721,3482,2720,2959,2604,2629,2845,2601,2190,2978,3560,2669,3780,3775,3054,3139,2752,2752,2913,2815,2593,3159,3119,2660,3617,3248,2766,3146,2825,2993,3286,3241,2687,3436,3569,2820
Great Falls,3023,1432,4491,1623,1428,1228,1287,1157,1191,1073,1184,1045,1240,1522,1125,1701,1641,1273,1408,1250,1225,1215,1228,1028,1309,1697,1237,1818,1818,1499,1512,1294,1308,1308,1268,1231,1432,1462,1246,1729,1504,1330,1536,1314,1436,1514,1450,1297,1623,1759,1377
Missoula,5972,2598,8512,2643,2565,1995,2264,1729,1810,1603,1660,1610,1815,2444,1855,3030,2583,1978,2353,1731,1838,1763,1696,1585,1921,2659,1923,2939,2875,2171,2466,1872,1951,1968,1893,1947,2127,2459,2065,2657,2513,2067,2275,1887,2114,2199,2116,1938,2344,2810,2095
