1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Beckley,47371,47318,47327,47017,46961,46044,45978,46655,46959,47205,46958,46073,46997,44677,44896,45159,45070,44113,44032,45049,45129,46004,45326,45932,46327,44738,45190,44777,45272,43785,43844,44720,44262,45060,44708,44444,45656,43954,44551,44288,44432,45906,45047,46934,46980,47364,47192,46535,47710,45497,45839
Charleston,91904,94679,91658,93142,93448,93101,92948,93947,93930,94779,94336,92248,95006,91558,92096,91311,92269,93160,93130,94427,94263,95912,94393,95706,97436,95200,95320,94836,95805,96175,96454,97043,96247,97706,97581,96127,98644,95038,95849,95193,95619,97590,96699,98625,99255,100100,99470,97342,100346,96488,97259
Huntington-Ashland,148014,148871,147468,147334,148653,146506,146194,146997,147244,146260,146217,144225,145906,144422,144453,143125,144475,145669,145167,146045,146711,147047,145181,147320,148286,146246,146556,145069,146940,146431,146506,146999,146764,147209,146502,146845,148758,146775,147687,145490,146783,148271,146815,149880,150394,149078,149567,149164,149787,147456,148217
Morgantown,69387,72623,69393,69606,72393,70103,69375,70115,70603,67838,67605,67941,67176,68074,68557,67876,68734,69559,68981,69595,70219,68089,67446,69351,68259,68894,69304,67800,69322,67715,67492,68029,68236,66556,66182,66900,65775,66699,66969,64504,66866,67539,66581,67870,68855,66160,66072,66981,65703,66472,66497
Parkersburg-Vienna,40189,40141,39983,39847,39955,38936,38870,38892,39165,39296,39003,38787,39491,37874,38221,38070,38217,37982,38009,38064,38096,38786,38145,38653,39444,38132,38282,38157,38535,38041,38312,38347,38181,39073,38753,38782,39450,38242,38747,38371,38415,39259,38846,39429,39805,39933,39616,39689,40020,38987,39310
Wheeling,63438,65168,62095,65005,65199,69408,68909,68375,69331,69714,68861,68367,70360,68031,68030,67782,68319,64082,64125,63552,64460,64979,63714,65404,65758,64955,64897,64175,64939,64334,64495,64010,64561,64989,64307,64296,65639,63937,64277,63897,64094,65568,64785,65630,66111,66796,66100,66959,67264,66717,66779
