1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bowling Green,9690,4298,14245,3745,3293,3008,3314,2827,2999,4027,3387,3088,3946,3548,2912,3468,3414,2623,2802,2933,3204,3708,3058,2996,3852,3273,2801,3101,3537,2920,2617,3523,3266,4248,3854,3226,4235,3675,3363,3984,3773,2575,2806,2911,2869,3355,2871,3221,3641,3897,3016
Elizabethtown-Fort Knox,8413,3633,12369,3176,2893,2566,2547,2532,2451,3469,2877,2628,3230,3002,2547,2880,2817,2336,2493,2911,2804,3375,2665,2763,3306,2867,2493,2697,2983,2607,2355,2820,2766,4043,3319,3060,3740,3540,3195,3748,3492,2505,2842,2940,2814,3068,2741,2931,3210,3459,2703
Lexington-Fayette,24497,11392,40114,10050,8767,8424,8219,8192,8032,11209,9434,8900,10944,9830,8318,9343,8981,7519,8035,8949,9341,10775,9017,9087,11268,9473,8375,8535,9841,8618,7725,9105,8962,12544,10831,9990,12409,11086,10150,11251,10848,7906,8533,9201,8950,10088,8850,9597,10599,11011,8812
Louisville/Jefferson County,76757,28527,107386,26446,23582,22771,21949,22653,21826,31787,26009,24219,28680,27173,23812,26622,25774,22493,23013,27988,25688,30469,25356,26595,29032,25030,22518,23567,25745,23362,21202,25137,24457,34105,29826,26023,30644,29812,25886,30989,30096,23014,24593,26337,25049,28097,26573,27053,29572,31687,25917
Owensboro,5622,2662,7770,2456,2195,1914,1995,1906,1871,2540,2116,2084,2502,2296,1957,2262,2167,1814,1931,2134,2177,2526,2154,2201,2648,2387,2103,2327,2559,2230,2052,2212,2321,3034,2745,2440,3021,2750,2511,2973,2852,2018,2324,2300,2410,2501,2210,2442,2648,2804,2251
