1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Duluth,17674,6410,18142,6901,6874,5658,6468,4350,4549,5946,5458,5142,5975,7120,5829,7477,6929,4375,5660,3921,3916,5168,4672,5047,5599,7021,5983,7269,7327,5415,6233,5265,4383,6440,6743,6435,6986,8440,7391,9421,9035,6826,7752,6609,6354,7789,7805,7357,8452,10255,8932
Mankato-North Mankato,4999,1761,4604,1737,1789,1301,1625,1390,1293,1785,1696,1561,1909,2081,1617,2049,1991,1034,1573,1214,1111,1407,1286,1282,1618,1888,1528,2002,1963,1173,1528,1452,1145,1758,1745,1709,1951,2064,1713,2340,2348,1441,1827,1605,1495,1880,1812,1611,2043,2169,1735
Minneapolis-St. Paul-Bloomington,203117,62817,183882,62385,62957,54188,61365,49898,51346,64503,59453,54020,66294,72251,56608,72927,68217,40942,55584,44267,42572,53908,49718,46845,57166,65453,54841,67855,67261,48275,57608,57172,46774,66952,69269,62839,70488,73918,64717,81755,81189,58248,68873,63267,59581,69434,69920,61104,73775,78195,66325
Rochester,11868,3807,8420,3874,3903,2957,3712,2630,2634,3640,3289,3075,3784,4568,3410,4498,4240,2263,3348,2313,2247,2835,2626,2567,3169,4147,3332,4373,4327,2623,3399,2947,2454,3552,3577,3436,3804,4410,3658,5028,4827,3138,3887,3345,3134,3766,3805,3270,3978,4702,3644
St. Cloud,10049,4268,9253,4806,4612,3168,4290,2791,2671,3470,3226,3157,3692,5114,3815,5357,4985,2488,3856,2453,2372,2928,2778,2853,3270,4734,3797,5157,4911,2958,3975,3111,2539,3645,3741,3685,4002,5204,4109,5943,5724,3464,4627,3605,3395,4018,3962,3735,4316,5470,4105
