1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Alexandria,5681,4221,5699,3890,2862,3304,3425,3094,3128,3606,3367,2753,3624,2621,2330,3588,3008,3195,3092,3458,3278,4165,3919,3302,4272,3086,3001,3212,2871,2970,2915,3704,2983,4064,4040,4022,4300,3875,4019,4235,3892,3823,3789,4582,4003,4868,4676,4199,4932,4178,3838
Baton Rouge,48362,24042,50325,21556,15925,18636,18752,17560,18166,20176,18990,15533,20785,14318,12994,19428,16509,16829,16068,18875,17813,22982,21244,17726,23429,16255,16234,16468,15010,15532,14544,19067,15558,20742,20621,19760,21857,19499,20333,21618,19207,20150,19223,25837,21533,25614,24510,22037,26221,21578,20609
Hammond,8774,3928,8897,3610,2582,2974,3070,2805,2867,3329,2999,2502,3421,2334,2097,3241,2685,2713,2756,3023,2781,3704,3414,2811,3830,2603,2623,2715,2404,2488,2423,3151,2458,3546,3439,3335,3739,3231,3358,3565,3148,3232,3206,4062,3410,4264,4008,3691,4417,3666,3498
Houma-Thibodaux,9361,5308,10232,4747,3437,4036,3973,3799,3940,4299,3973,3505,4515,3252,2928,4427,3751,3933,3621,4396,4145,5239,4796,4319,5490,3965,3977,4081,3688,3866,3660,4814,3898,5098,5068,5316,5426,5546,5575,6015,5503,5582,5435,6783,6014,7104,6799,6466,7268,6487,6106
Lafayette,24305,13696,25374,11956,9050,10177,10293,9465,9877,10806,9995,8705,11239,8033,7287,10656,9241,9554,9005,10551,9945,12753,11682,10405,13220,9803,9598,9820,9051,9427,8882,11642,9633,12649,12498,13063,13516,13377,13502,14436,13254,13505,13004,16697,14539,17490,16692,16177,18103,16061,15460
Lake Charles,13984,6426,13937,5655,4297,4584,4790,4262,4335,4878,4510,3794,5012,3491,3171,4586,3967,3927,3817,4405,4108,5303,4869,4254,5508,3876,3909,3992,3606,3824,3577,4717,3787,4761,4780,4697,5013,4522,4695,5026,4514,4654,4482,5650,4902,5788,5662,5034,5922,5178,4894
Monroe,8402,5831,8436,5083,3951,4395,4444,3969,4204,4500,4223,3673,4654,3500,3151,4572,4001,4013,3936,4270,4126,4999,4692,4052,5099,3802,3744,3773,3521,3521,3358,4297,3546,4486,4507,4596,4771,4546,4689,4970,4547,4581,4418,5317,4803,5663,5449,5065,5816,5088,4835
New Orleans-Metairie,94616,35187,105506,31036,23279,26785,26725,25155,26347,29309,27125,22783,30219,21219,19348,28411,24154,25204,23611,28521,26536,34291,31968,26680,35048,24450,24576,24724,22622,23742,22206,29735,24240,31772,32063,30000,33024,29291,30594,31915,28605,29801,28258,36583,32053,38723,37122,33255,38958,34016,31792
Shreveport-Bossier City,22688,12716,22363,11175,8487,9821,9780,8951,9476,10362,9592,8156,10718,7605,6962,9973,8691,9051,8608,9836,9429,11861,11134,9692,12476,8829,8744,8707,8071,8582,8068,10457,8750,11300,11308,11247,11972,10979,11379,11799,10763,11359,10751,13624,12139,14324,13818,12441,14571,12658,11990
