1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Bangor,6129,2571,7108,2834,2983,1871,1960,1588,1740,1747,1486,2193,1984,2668,2421,2975,2787,2311,2290,2191,2375,2818,2177,2137,2365,2203,2172,2311,2359,2077,1741,2196,2178,2649,2327,2525,2705,2438,2360,2734,2615,2686,2392,2478,2498,2764,2493,2458,2649,2814,2554
Lewiston-Auburn,4999,1808,5752,2020,2143,1454,1479,1291,1370,1410,1244,1733,1581,2044,1811,2184,2019,1787,1663,1707,1803,1928,1703,1600,1827,1627,1602,1675,1674,1546,1204,1646,1596,1960,1739,1785,2010,1801,1698,1986,1956,1987,1683,1799,1810,2064,1819,1826,1958,2102,1875
Portland-South Portland,20114,5684,21292,6504,6602,4620,4698,3982,4255,4108,3681,5400,4916,6234,5609,6855,6034,5714,5127,5354,5698,5913,5269,5133,5871,5071,5048,5276,5194,5026,3786,5152,5054,5919,5347,5547,6358,5389,5113,6087,5823,6326,5261,5595,5716,6189,5559,5472,6119,5985,5436
