1,May-20,Mar-20,Apr-20,Jan-20,Feb-20,Nov-19,Dec-19,Sep-19,Oct-19,Jul-19,Aug-19,May-19,Jun-19,Mar-19,Apr-19,Jan-19,Feb-19,Nov-18,Dec-18,Sep-18,Oct-18,Jul-18,Aug-18,May-18,Jun-18,Mar-18,Apr-18,Jan-18,Feb-18,Nov-17,Dec-17,Sep-17,Oct-17,Jul-17,Aug-17,May-17,Jun-17,Mar-17,Apr-17,Jan-17,Feb-17,Nov-16,Dec-16,Sep-16,Oct-16,Jul-16,Aug-16,May-16,Jun-16,Mar-16,Apr-16
Charleston-North Charleston,48795,10180,47253,9555,10140,7045,7649,5772,6888,11028,9869,11365,12119,11254,9947,11671,10673,10019,10588,10552,10601,11515,11602,9034,11787,13066,8693,15787,14587,12448,13160,12409,12369,14068,14358,11738,13903,13185,11879,15500,14730,12503,12911,15570,14597,17317,17647,15572,18310,17973,16723
Columbia,38804,11421,33817,10934,11423,8204,8740,6904,7969,12611,11261,12928,14144,12700,11267,13712,12107,11998,12379,12617,12660,13721,13938,11061,14021,15759,10795,19359,17589,16009,16851,15584,15913,16702,18271,14033,16588,15520,13898,18160,17443,15283,15453,18767,17543,20714,21060,18391,21811,21099,19600
Florence,9724,3146,8720,3039,3094,2273,2468,1944,2233,3544,3183,3578,3930,3499,3161,3824,3478,3374,3496,3606,3568,3838,3917,3008,3811,4272,2993,5283,4798,4245,4608,4136,4277,4729,4866,3976,4617,4355,4029,5130,4901,4283,4392,5213,4926,5841,5872,5310,6154,6205,5688
Greenville-Anderson-Mauldin,55276,12075,54418,11446,12145,8606,9157,7024,8391,12879,11520,13494,14562,13169,11533,13677,12561,12031,12369,12611,12801,13818,13819,10996,14233,15660,10472,19204,17506,14889,15862,14574,14676,17716,17075,14034,16488,15701,13790,18403,17482,15145,15457,18600,17425,20889,21191,18354,22066,21475,19796
Hilton Head Island-Bluffton-Beaufort,10186,2509,10207,2379,2550,1720,1877,1418,1733,2862,2507,2901,3154,2799,2489,2865,2688,2490,2545,2579,2664,2952,2938,2276,3020,3319,2174,4058,3771,3129,3328,3111,3139,3510,3587,2887,3460,3289,2914,3877,3715,3141,3237,3802,3720,4378,4426,3729,4570,4422,4303
Myrtle Beach-Conway-North Myrtle Beach,35927,8930,41476,9641,9045,6216,7165,5448,6153,8508,7844,8678,9241,9189,8011,11108,9836,8023,9215,7681,8128,8352,8283,7167,8540,10088,7267,13170,12016,9310,10706,8301,8700,9101,9227,8372,8992,9667,8429,12963,11607,9569,10611,10053,9989,10536,10705,10165,11201,12467,11080
Spartanburg,25564,4768,26365,4530,4731,3297,3525,2697,3187,5140,4508,5099,5761,4927,4420,5207,4708,4530,4641,4805,4854,5466,5480,4143,5527,5991,4053,7429,6725,5887,6268,5762,5830,7830,6956,5427,6659,6113,5387,7225,6876,5922,6018,7248,6823,8405,8298,7272,8870,8479,7797
Sumter,5096,1668,5001,1571,1629,1163,1323,951,1114,1721,1557,1731,1932,1713,1541,1776,1620,1612,1638,1698,1689,1884,1860,1493,1923,2187,1513,2631,2427,2149,2275,2104,2109,2409,2545,2029,2372,2177,2099,2607,2436,2163,2202,2539,2426,2879,2891,2589,3036,3008,2860
