state,initial claims,continued claims,week,code
Alabama,"16,979","41,134",1989-07-08,AL
Alabama,"12,996","40,107",1989-07-15,AL
Alabama,"7,751","33,311",1989-07-22,AL
Alabama,"7,321","30,581",1989-07-29,AL
Alabama,"7,442","33,680",1989-08-05,AL
Alabama,"4,625","30,820",1989-08-12,AL
Alabama,"3,880","28,844",1989-08-19,AL
Alabama,"5,034","28,814",1989-08-26,AL
Alabama,"4,437","26,870",1989-09-02,AL
Alabama,"4,460","28,238",1989-09-09,AL
Alabama,"5,279","27,962",1989-09-16,AL
Alabama,"4,735","26,419",1989-09-23,AL
Alabama,"5,359","26,525",1989-09-30,AL
Alabama,"5,208","27,004",1989-10-07,AL
Alabama,"4,990","28,062",1989-10-14,AL
Alabama,"5,562","28,327",1989-10-21,AL
Alabama,"5,119","24,205",1989-10-28,AL
Alabama,"4,842","26,533",1989-11-04,AL
Alabama,"7,117","30,335",1989-11-11,AL
Alabama,"4,274","25,991",1989-11-18,AL
Alabama,"9,193","35,049",1989-11-25,AL
Alabama,"7,982","32,921",1989-12-02,AL
Alabama,"5,915","31,389",1989-12-09,AL
Alabama,"8,343","33,394",1989-12-16,AL
Alabama,"11,758","39,821",1989-12-23,AL
Alabama,"14,782","44,759",1989-12-30,AL
Alabama,"21,868","54,039",1990-01-06,AL
Alabama,"14,723","47,569",1990-01-13,AL
Alabama,"9,275","42,930",1990-01-20,AL
Alabama,"7,089","39,162",1990-01-27,AL
Alabama,"9,078","41,076",1990-02-03,AL
Alabama,"7,579","40,159",1990-02-10,AL
Alabama,"7,930","39,157",1990-02-17,AL
Alabama,"7,196","41,378",1990-02-24,AL
Alabama,"6,087","37,161",1990-03-03,AL
Alabama,"4,760","34,558",1990-03-10,AL
Alabama,"12,575","40,670",1990-03-17,AL
Alabama,"7,613","35,735",1990-03-24,AL
Alabama,"6,542","33,754",1990-03-31,AL
Alabama,"5,674","32,881",1990-04-07,AL
Alabama,"15,414","33,200",1990-04-14,AL
Alabama,"5,063","31,873",1990-04-21,AL
Alabama,"6,932","32,049",1990-04-28,AL
Alabama,"6,522","33,184",1990-05-05,AL
Alabama,"4,916","30,225",1990-05-12,AL
Alabama,"5,138","30,105",1990-05-19,AL
Alabama,"6,468","29,558",1990-05-26,AL
Alabama,"5,190","29,505",1990-06-02,AL
Alabama,"4,869","29,464",1990-06-09,AL
Alabama,"5,384","30,934",1990-06-16,AL
Alabama,"4,526","29,434",1990-06-23,AL
Alabama,"7,358","29,080",1990-06-30,AL
Alabama,"15,279","40,802",1990-07-07,AL
Alabama,"12,924","40,022",1990-07-14,AL
Alabama,"9,141","36,130",1990-07-21,AL
Alabama,"8,406","33,954",1990-07-28,AL
Alabama,"6,965","33,600",1990-08-04,AL
Alabama,"5,555","33,825",1990-08-11,AL
Alabama,"6,213","32,992",1990-08-18,AL
Alabama,"5,894","31,168",1990-08-25,AL
Alabama,"7,258","31,656",1990-09-01,AL
Alabama,"5,593","31,250",1990-09-08,AL
Alabama,"5,184","30,526",1990-09-15,AL
Alabama,"5,078","29,589",1990-09-22,AL
Alabama,"6,238","29,841",1990-09-29,AL
Alabama,"6,916","29,239",1990-10-06,AL
Alabama,"5,519","30,214",1990-10-13,AL
Alabama,"6,963","31,475",1990-10-20,AL
Alabama,"8,978","34,830",1990-10-27,AL
Alabama,"7,463","34,257",1990-11-03,AL
Alabama,"6,424","32,956",1990-11-10,AL
Alabama,"5,054","31,296",1990-11-17,AL
Alabama,"13,544","43,360",1990-11-24,AL
Alabama,"12,549","42,036",1990-12-01,AL
Alabama,"8,079","39,619",1990-12-08,AL
Alabama,"9,238","40,131",1990-12-15,AL
Alabama,"12,745","43,339",1990-12-22,AL
Alabama,"18,288","51,226",1990-12-29,AL
Alabama,"24,282","70,842",1991-01-05,AL
Alabama,"21,353","60,913",1991-01-12,AL
Alabama,"12,607","53,371",1991-01-19,AL
Alabama,"10,777","49,386",1991-01-26,AL
Alabama,"10,881","50,889",1991-02-02,AL
Alabama,"7,714","48,367",1991-02-09,AL
Alabama,"7,891","47,691",1991-02-16,AL
Alabama,"10,006","51,351",1991-02-23,AL
Alabama,"7,553","48,319",1991-03-02,AL
Alabama,"7,206","47,371",1991-03-09,AL
Alabama,"6,724","45,614",1991-03-16,AL
Alabama,"6,755","43,908",1991-03-23,AL
Alabama,"11,204","48,266",1991-03-30,AL
Alabama,"8,003","42,668",1991-04-06,AL
Alabama,"7,578","43,058",1991-04-13,AL
Alabama,"5,715","40,569",1991-04-20,AL
Alabama,"6,355","40,492",1991-04-27,AL
Alabama,"7,094","40,636",1991-05-04,AL
Alabama,"6,458","38,909",1991-05-11,AL
Alabama,"6,001","38,841",1991-05-18,AL
Alabama,"6,128","36,876",1991-05-25,AL
Alabama,"6,409","38,667",1991-06-01,AL
Alabama,"5,633","38,666",1991-06-08,AL
Alabama,"4,933","38,300",1991-06-15,AL
Alabama,"5,117","36,529",1991-06-22,AL
Alabama,"6,348","36,516",1991-06-29,AL
Alabama,"15,977","46,110",1991-07-06,AL
Alabama,"13,019","45,416",1991-07-13,AL
Alabama,"7,775","41,479",1991-07-20,AL
Alabama,"6,657","39,984",1991-07-27,AL
Alabama,"6,255","38,516",1991-08-03,AL
Alabama,"4,928","37,011",1991-08-10,AL
Alabama,"4,898","36,433",1991-08-17,AL
Alabama,"5,300","35,931",1991-08-24,AL
Alabama,"4,730","33,344",1991-08-31,AL
Alabama,"4,912","35,810",1991-09-07,AL
Alabama,"4,412","33,700",1991-09-14,AL
Alabama,"4,959","32,924",1991-09-21,AL
Alabama,"5,155","32,530",1991-09-28,AL
Alabama,"5,751","32,408",1991-10-05,AL
Alabama,"4,797","31,970",1991-10-12,AL
Alabama,"5,882","34,746",1991-10-19,AL
Alabama,"5,524","33,871",1991-10-26,AL
Alabama,"5,760","34,133",1991-11-02,AL
Alabama,"5,857","34,489",1991-11-09,AL
Alabama,"6,738","35,750",1991-11-16,AL
Alabama,"6,150","34,972",1991-11-23,AL
Alabama,"10,865","42,154",1991-11-30,AL
Alabama,"7,470","42,669",1991-12-07,AL
Alabama,"6,686","41,039",1991-12-14,AL
Alabama,"5,870","38,306",1991-12-21,AL
Alabama,"17,251","54,429",1991-12-28,AL
Alabama,"21,684","61,903",1992-01-04,AL
Alabama,"20,068","60,623",1992-01-11,AL
Alabama,"10,537","53,079",1992-01-18,AL
Alabama,"9,208","50,774",1992-01-25,AL
Alabama,"6,919","48,466",1992-02-01,AL
Alabama,"6,834","47,983",1992-02-08,AL
Alabama,"5,849","45,545",1992-02-15,AL
Alabama,"6,944","47,377",1992-02-22,AL
Alabama,"5,830","45,401",1992-02-29,AL
Alabama,"5,890","45,009",1992-03-07,AL
Alabama,"6,454","44,053",1992-03-14,AL
Alabama,"5,218","42,972",1992-03-21,AL
Alabama,"5,433","41,224",1992-03-28,AL
Alabama,"9,157","43,994",1992-04-04,AL
Alabama,"5,922","40,756",1992-04-11,AL
Alabama,"4,823","40,121",1992-04-18,AL
Alabama,"5,421","39,356",1992-04-25,AL
Alabama,"5,177","37,939",1992-05-02,AL
Alabama,"5,187","36,998",1992-05-09,AL
Alabama,"5,513","36,987",1992-05-16,AL
Alabama,"4,901","35,073",1992-05-23,AL
Alabama,"5,825","37,366",1992-05-30,AL
Alabama,"5,898","37,363",1992-06-06,AL
Alabama,"5,072","37,222",1992-06-13,AL
Alabama,"6,146","37,637",1992-06-20,AL
Alabama,"4,473","34,976",1992-06-27,AL
Alabama,"13,353","42,512",1992-07-04,AL
Alabama,"14,717","46,108",1992-07-11,AL
Alabama,"7,549","40,432",1992-07-18,AL
Alabama,"8,129","40,846",1992-07-25,AL
Alabama,"5,260","37,792",1992-08-01,AL
Alabama,"5,166","36,066",1992-08-08,AL
Alabama,"4,833","34,829",1992-08-15,AL
Alabama,"4,802","34,139",1992-08-22,AL
Alabama,"4,828","33,139",1992-08-29,AL
Alabama,"3,543","29,946",1992-09-05,AL
Alabama,"5,363","32,642",1992-09-12,AL
Alabama,"4,050","30,674",1992-09-19,AL
Alabama,"5,213","30,429",1992-09-26,AL
Alabama,"5,047","28,864",1992-10-03,AL
Alabama,"3,891","26,247",1992-10-10,AL
Alabama,"4,602","29,456",1992-10-17,AL
Alabama,"4,552","29,004",1992-10-24,AL
Alabama,"4,889","28,684",1992-10-31,AL
Alabama,"5,010","28,535",1992-11-07,AL
Alabama,"5,627","30,844",1992-11-14,AL
Alabama,"3,158","25,996",1992-11-21,AL
Alabama,"6,736","33,869",1992-11-28,AL
Alabama,"8,154","34,058",1992-12-05,AL
Alabama,"4,792","31,683",1992-12-12,AL
Alabama,"4,285","27,342",1992-12-19,AL
Alabama,"9,334","36,456",1992-12-26,AL
Alabama,"17,291","48,731",1993-01-02,AL
Alabama,"19,156","52,890",1993-01-09,AL
Alabama,"17,093","47,631",1993-01-16,AL
Alabama,"12,597","44,415",1993-01-23,AL
Alabama,"8,345","38,307",1993-01-30,AL
Alabama,"6,343","35,913",1993-02-06,AL
Alabama,"5,102","33,164",1993-02-13,AL
Alabama,"7,411","36,060",1993-02-20,AL
Alabama,"5,034","33,022",1993-02-27,AL
Alabama,"4,778","31,781",1993-03-06,AL
Alabama,"4,590","30,129",1993-03-13,AL
Alabama,"7,498","34,438",1993-03-20,AL
Alabama,"5,756","31,271",1993-03-27,AL
Alabama,"8,419","32,222",1993-04-03,AL
Alabama,"5,270","31,025",1993-04-10,AL
Alabama,"5,278","30,762",1993-04-17,AL
Alabama,"4,359","29,357",1993-04-24,AL
Alabama,"5,458","29,634",1993-05-01,AL
Alabama,"4,666","29,698",1993-05-08,AL
Alabama,"5,474","29,120",1993-05-15,AL
Alabama,"4,425","28,978",1993-05-22,AL
Alabama,"5,652","28,751",1993-05-29,AL
Alabama,"6,661","32,467",1993-06-05,AL
Alabama,"7,385","33,447",1993-06-12,AL
Alabama,"6,365","32,713",1993-06-19,AL
Alabama,"6,735","32,762",1993-06-26,AL
Alabama,"9,904","34,090",1993-07-03,AL
Alabama,"15,934","45,333",1993-07-10,AL
Alabama,"10,982","39,644",1993-07-17,AL
Alabama,"8,443","36,686",1993-07-24,AL
Alabama,"5,692","35,661",1993-07-31,AL
Alabama,"4,926","32,506",1993-08-07,AL
Alabama,"4,440","32,084",1993-08-14,AL
Alabama,"4,374","30,737",1993-08-21,AL
Alabama,"5,212","31,196",1993-08-28,AL
Alabama,"3,804","28,385",1993-09-04,AL
Alabama,"4,203","30,050",1993-09-11,AL
Alabama,"3,979","28,181",1993-09-18,AL
Alabama,"3,968","27,714",1993-09-25,AL
Alabama,"5,001","26,636",1993-10-02,AL
Alabama,"4,623","26,708",1993-10-09,AL
Alabama,"4,840","28,719",1993-10-16,AL
Alabama,"4,975","29,513",1993-10-23,AL
Alabama,"5,280","29,564",1993-10-30,AL
Alabama,"4,662","29,463",1993-11-06,AL
Alabama,"5,718","31,416",1993-11-13,AL
Alabama,"3,710","28,284",1993-11-20,AL
Alabama,"10,131","37,903",1993-11-27,AL
Alabama,"7,810","35,030",1993-12-04,AL
Alabama,"5,675","33,333",1993-12-11,AL
Alabama,"3,379","29,052",1993-12-18,AL
Alabama,"12,792","40,349",1993-12-25,AL
Alabama,"24,636","58,843",1994-01-01,AL
Alabama,"23,648","59,661",1994-01-08,AL
Alabama,"8,695","41,081",1994-01-15,AL
Alabama,"7,889","41,330",1994-01-22,AL
Alabama,"5,897","38,414",1994-01-29,AL
Alabama,"5,923","37,751",1994-02-05,AL
Alabama,"5,374","38,012",1994-02-12,AL
Alabama,"4,839","33,791",1994-02-19,AL
Alabama,"6,013","36,617",1994-02-26,AL
Alabama,"5,449","35,400",1994-03-05,AL
Alabama,"4,643","33,567",1994-03-12,AL
Alabama,"5,020","33,515",1994-03-19,AL
Alabama,"3,903","30,849",1994-03-26,AL
Alabama,"7,125","32,776",1994-04-02,AL
Alabama,"4,423","30,745",1994-04-09,AL
Alabama,"4,197","29,630",1994-04-16,AL
Alabama,"3,701","27,622",1994-04-23,AL
Alabama,"4,385","28,560",1994-04-30,AL
Alabama,"4,542","28,069",1994-05-07,AL
Alabama,"4,663","27,990",1994-05-14,AL
Alabama,"4,461","28,248",1994-05-21,AL
Alabama,"4,171","26,005",1994-05-28,AL
Alabama,"3,933","28,565",1994-06-04,AL
Alabama,"4,448","29,060",1994-06-11,AL
Alabama,"4,209","28,925",1994-06-18,AL
Alabama,"3,621","28,411",1994-06-25,AL
Alabama,"6,698","27,859",1994-07-02,AL
Alabama,"18,118","43,764",1994-07-09,AL
Alabama,"10,690","36,579",1994-07-16,AL
Alabama,"5,736","32,498",1994-07-23,AL
Alabama,"4,750","29,966",1994-07-30,AL
Alabama,"4,438","29,393",1994-08-06,AL
Alabama,"4,078","29,147",1994-08-13,AL
Alabama,"3,644","28,043",1994-08-20,AL
Alabama,"3,797","26,929",1994-08-27,AL
Alabama,"3,191","24,280",1994-09-03,AL
Alabama,"3,569","26,433",1994-09-10,AL
Alabama,"3,490","24,979",1994-09-17,AL
Alabama,"3,533","24,328",1994-09-24,AL
Alabama,"4,508","23,834",1994-10-01,AL
Alabama,"3,957","23,432",1994-10-08,AL
Alabama,"4,916","26,462",1994-10-15,AL
Alabama,"4,156","25,575",1994-10-22,AL
Alabama,"3,941","25,160",1994-10-29,AL
Alabama,"3,288","24,000",1994-11-05,AL
Alabama,"4,225","26,246",1994-11-12,AL
Alabama,"2,808","22,784",1994-11-19,AL
Alabama,"5,950","28,490",1994-11-26,AL
Alabama,"5,672","27,452",1994-12-03,AL
Alabama,"4,432","26,710",1994-12-10,AL
Alabama,"3,960","25,712",1994-12-17,AL
Alabama,"8,116","28,804",1994-12-24,AL
Alabama,"21,321","47,243",1994-12-31,AL
Alabama,"22,338","48,429",1995-01-07,AL
Alabama,"6,397","31,385",1995-01-14,AL
Alabama,"6,139","32,269",1995-01-21,AL
Alabama,"5,307","30,927",1995-01-28,AL
Alabama,"4,752","29,713",1995-02-04,AL
Alabama,"5,903","31,373",1995-02-11,AL
Alabama,"4,344","29,541",1995-02-18,AL
Alabama,"4,276","29,151",1995-02-25,AL
Alabama,"5,111","29,921",1995-03-04,AL
Alabama,"4,135","28,576",1995-03-11,AL
Alabama,"4,278","28,168",1995-03-18,AL
Alabama,"4,037","26,803",1995-03-25,AL
Alabama,"6,317","28,090",1995-04-01,AL
Alabama,"4,158","26,552",1995-04-08,AL
Alabama,"4,140","26,036",1995-04-15,AL
Alabama,"4,166","25,570",1995-04-22,AL
Alabama,"4,464","26,008",1995-04-29,AL
Alabama,"5,183","26,070",1995-05-06,AL
Alabama,"4,788","26,290",1995-05-13,AL
Alabama,"4,752","26,768",1995-05-20,AL
Alabama,"4,718","25,730",1995-05-27,AL
Alabama,"5,239","27,901",1995-06-03,AL
Alabama,"5,059","29,114",1995-06-10,AL
Alabama,"4,179","28,341",1995-06-17,AL
Alabama,"4,445","28,976",1995-06-24,AL
Alabama,"6,512","28,510",1995-07-01,AL
Alabama,"20,204","45,693",1995-07-08,AL
Alabama,"14,927","41,871",1995-07-15,AL
Alabama,"6,737","34,086",1995-07-22,AL
Alabama,"4,787","30,882",1995-07-29,AL
Alabama,"5,038","31,158",1995-08-05,AL
Alabama,"5,415","30,990",1995-08-12,AL
Alabama,"5,598","30,896",1995-08-19,AL
Alabama,"4,746","29,822",1995-08-26,AL
Alabama,"4,472","27,716",1995-09-02,AL
Alabama,"6,918","30,497",1995-09-09,AL
Alabama,"4,490","28,063",1995-09-16,AL
Alabama,"4,384","27,500",1995-09-23,AL
Alabama,"7,368","28,272",1995-09-30,AL
Alabama,"6,541","27,694",1995-10-07,AL
Alabama,"8,479","31,114",1995-10-14,AL
Alabama,"7,876","30,328",1995-10-21,AL
Alabama,"8,411","31,469",1995-10-28,AL
Alabama,"6,522","28,266",1995-11-04,AL
Alabama,"6,650","28,922",1995-11-11,AL
Alabama,"4,507","25,498",1995-11-18,AL
Alabama,"12,006","36,858",1995-11-25,AL
Alabama,"8,165","33,475",1995-12-02,AL
Alabama,"5,677","31,277",1995-12-09,AL
Alabama,"7,237","31,558",1995-12-16,AL
Alabama,"10,490","38,852",1995-12-23,AL
Alabama,"21,067","49,960",1995-12-30,AL
Alabama,"23,088","56,146",1996-01-06,AL
Alabama,"13,219","45,498",1996-01-13,AL
Alabama,"7,962","41,375",1996-01-20,AL
Alabama,"5,719","36,137",1996-01-27,AL
Alabama,"6,216","35,277",1996-02-03,AL
Alabama,"10,094","42,915",1996-02-10,AL
Alabama,"8,287","37,481",1996-02-17,AL
Alabama,"7,930","38,215",1996-02-24,AL
Alabama,"6,530","35,593",1996-03-02,AL
Alabama,"5,225","33,738",1996-03-09,AL
Alabama,"6,780","34,042",1996-03-16,AL
Alabama,"6,680","34,253",1996-03-23,AL
Alabama,"9,134","36,921",1996-03-30,AL
Alabama,"5,709","32,276",1996-04-06,AL
Alabama,"6,003","32,593",1996-04-13,AL
Alabama,"3,610","29,434",1996-04-20,AL
Alabama,"5,916","33,137",1996-04-27,AL
Alabama,"4,505","31,385",1996-05-04,AL
Alabama,"4,544","30,951",1996-05-11,AL
Alabama,"4,552","30,826",1996-05-18,AL
Alabama,"5,464","30,716",1996-05-25,AL
Alabama,"5,607","31,528",1996-06-01,AL
Alabama,"5,269","32,464",1996-06-08,AL
Alabama,"4,702","32,434",1996-06-15,AL
Alabama,"4,065","32,512",1996-06-22,AL
Alabama,"4,190","29,099",1996-06-29,AL
Alabama,"16,497","43,861",1996-07-06,AL
Alabama,"11,280","40,601",1996-07-13,AL
Alabama,"5,698","33,960",1996-07-20,AL
Alabama,"4,614","32,165",1996-07-27,AL
Alabama,"5,864","33,223",1996-08-03,AL
Alabama,"5,384","32,229",1996-08-10,AL
Alabama,"4,413","31,295",1996-08-17,AL
Alabama,"4,662","30,909",1996-08-24,AL
Alabama,"4,012","28,366",1996-08-31,AL
Alabama,"3,984","28,819",1996-09-07,AL
Alabama,"3,581","27,340",1996-09-14,AL
Alabama,"4,068","26,804",1996-09-21,AL
Alabama,"4,565","26,746",1996-09-28,AL
Alabama,"5,589","27,477",1996-10-05,AL
Alabama,"4,270","26,661",1996-10-12,AL
Alabama,"4,152","26,964",1996-10-19,AL
Alabama,"3,839","26,444",1996-10-26,AL
Alabama,"4,435","26,724",1996-11-02,AL
Alabama,"5,293","27,694",1996-11-09,AL
Alabama,"4,792","27,470",1996-11-16,AL
Alabama,"4,726","26,776",1996-11-23,AL
Alabama,"8,979","33,655",1996-11-30,AL
Alabama,"6,863","31,908",1996-12-07,AL
Alabama,"5,319","30,182",1996-12-14,AL
Alabama,"6,718","30,486",1996-12-21,AL
Alabama,"16,768","43,910",1996-12-28,AL
Alabama,"23,800","57,413",1997-01-04,AL
Alabama,"15,620","50,669",1997-01-11,AL
Alabama,"8,972","39,579",1997-01-18,AL
Alabama,"6,561","36,070",1997-01-25,AL
Alabama,"5,789","34,286",1997-02-01,AL
Alabama,"5,331","33,737",1997-02-08,AL
Alabama,"5,091","32,811",1997-02-15,AL
Alabama,"4,849","32,212",1997-02-22,AL
Alabama,"5,240","32,006",1997-03-01,AL
Alabama,"4,498","30,228",1997-03-08,AL
Alabama,"3,691","28,551",1997-03-15,AL
Alabama,"3,698","28,021",1997-03-22,AL
Alabama,"4,685","28,025",1997-03-29,AL
Alabama,"7,251","30,291",1997-04-05,AL
Alabama,"4,270","28,240",1997-04-12,AL
Alabama,"4,038","27,247",1997-04-19,AL
Alabama,"3,936","27,295",1997-04-26,AL
Alabama,"4,947","28,161",1997-05-03,AL
Alabama,"4,094","26,309",1997-05-10,AL
Alabama,"4,983","26,600",1997-05-17,AL
Alabama,"4,551","25,849",1997-05-24,AL
Alabama,"6,007","28,371",1997-05-31,AL
Alabama,"5,613","29,734",1997-06-07,AL
Alabama,"4,802","29,158",1997-06-14,AL
Alabama,"4,328","28,834",1997-06-21,AL
Alabama,"5,100","27,984",1997-06-28,AL
Alabama,"14,334","38,700",1997-07-05,AL
Alabama,"11,675","36,580",1997-07-12,AL
Alabama,"5,630","31,399",1997-07-19,AL
Alabama,"5,903","31,485",1997-07-26,AL
Alabama,"4,578","29,661",1997-08-02,AL
Alabama,"4,540","28,363",1997-08-09,AL
Alabama,"4,370","27,514",1997-08-16,AL
Alabama,"4,012","27,048",1997-08-23,AL
Alabama,"4,144","25,902",1997-08-30,AL
Alabama,"4,210","26,126",1997-09-06,AL
Alabama,"4,097","24,838",1997-09-13,AL
Alabama,"3,862","24,605",1997-09-20,AL
Alabama,"5,496","25,854",1997-09-27,AL
Alabama,"4,571","23,916",1997-10-04,AL
Alabama,"4,945","25,016",1997-10-11,AL
Alabama,"4,123","24,256",1997-10-18,AL
Alabama,"4,157","24,093",1997-10-25,AL
Alabama,"4,724","24,592",1997-11-01,AL
Alabama,"5,531","26,278",1997-11-08,AL
Alabama,"4,487","25,974",1997-11-15,AL
Alabama,"2,861","23,164",1997-11-22,AL
Alabama,"7,796","30,590",1997-11-29,AL
Alabama,"6,227","27,968",1997-12-06,AL
Alabama,"5,583","27,669",1997-12-13,AL
Alabama,"5,372","22,843",1997-12-20,AL
Alabama,"11,770","38,345",1997-12-27,AL
Alabama,"23,422","57,282",1998-01-03,AL
Alabama,"21,850","53,796",1998-01-10,AL
Alabama,"11,289","36,970",1998-01-17,AL
Alabama,"5,577","33,335",1998-01-24,AL
Alabama,"5,807","32,380",1998-01-31,AL
Alabama,"5,861","33,159",1998-02-07,AL
